model,mode,scenario_id,category,expected,predicted,false_positives,false_negatives,invalid_finding_count,parse_success,abstained,latency_ms
llama3.1:8b,hybrid_explainer,clean-000,clean,,AE-R001@components[3].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[3].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,,0,True,False,198886.44769997336
llama3.1:8b,hybrid_explainer,clean-001,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,,0,True,False,184122.12849999196
llama3.1:8b,hybrid_explainer,clean-002,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].pins[0]; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,,0,True,False,202298.06420000386
llama3.1:8b,hybrid_explainer,clean-003,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.signal_class; AE-R005@wires[0].requirement_ids,,0,True,False,175966.23849999742
llama3.1:8b,hybrid_explainer,clean-004,clean,,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,AE-R001@components[0].pins[0]; AE-R002@components[0].id; AE-R003@wires[0].source.component_id; AE-R004@wires[0].source.pin_id; AE-R005@wires[0].requirement_ids,,0,True,False,169157.3570999899
llama3.1:8b,hybrid_explainer,mixed-000,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,,AE-R002@components[1].id,0,True,False,147569.6750000061
llama3.1:8b,hybrid_explainer,mixed-005,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,AE-R001@components[1].id; AE-R002@components[2].id; AE-R003@wires[0].target.pin_id,AE-R001@components[1].id; AE-R002@components[2].id,AE-R001@components[0].part_number; AE-R002@components[1].id,0,True,False,136335.24509999552
llama3.1:8b,hybrid_explainer,mixed-008,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id,AE-R003@wires[0].target.pin_id,,AE-R001@components[0].part_number,0,True,False,83678.60179999843
llama3.1:8b,hybrid_explainer,single-ae-r001-000,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,289249.2512999743
llama3.1:8b,hybrid_explainer,single-ae-r001-001,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R001@components[1].part_number; AE-R001@components[2].part_number; AE-R001@components[3].part_number; AE-R001@components[4].part_number; AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,AE-R001@components[1].part_number; AE-R001@components[2].part_number; AE-R001@components[3].part_number; AE-R001@components[4].part_number; AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,,0,True,False,245386.75479998346
llama3.1:8b,hybrid_explainer,single-ae-r001-002,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,270042.8248999815
llama3.1:8b,hybrid_explainer,single-ae-r001-003,single_fault,AE-R001@components[0].part_number,,,AE-R001@components[0].part_number,0,False,True,277040.69210001035
llama3.1:8b,hybrid_explainer,single-ae-r001-004,single_fault,AE-R001@components[0].part_number,AE-R001@components[0].part_number; AE-R001@components[1].part_number; AE-R001@components[2].part_number; AE-R001@components[3].part_number; AE-R001@components[4].part_number; AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,AE-R001@components[1].part_number; AE-R001@components[2].part_number; AE-R001@components[3].part_number; AE-R001@components[4].part_number; AE-R001@components[5].part_number; AE-R001@components[6].part_number; AE-R001@components[7].part_number,,0,True,False,254455.49809999648
llama3.1:8b,hybrid_explainer,single-ae-r002-000,single_fault,AE-R002@components[1].id,AE-R002@components[1].id; AE-R002@components[5].id; AE-R002@components[9].id,AE-R002@components[5].id; AE-R002@components[9].id,,0,True,False,145306.09329999425
llama3.1:8b,hybrid_explainer,single-ae-r002-001,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[1].id,AE-R002@components[0].id,,0,True,False,100497.56640000851
llama3.1:8b,hybrid_explainer,single-ae-r002-002,single_fault,AE-R002@components[1].id,AE-R002@components[1].id; AE-R002@components[5].id; AE-R002@components[9].id,AE-R002@components[5].id; AE-R002@components[9].id,,0,True,False,142443.53499999852
llama3.1:8b,hybrid_explainer,single-ae-r002-003,single_fault,AE-R002@components[1].id,AE-R002@components[0].id; AE-R002@components[1].id,AE-R002@components[0].id,,0,True,False,113477.98649998731
llama3.1:8b,hybrid_explainer,single-ae-r002-004,single_fault,AE-R002@components[1].id,AE-R002@components[1].id; AE-R002@components[4].id; AE-R002@components[7].id,AE-R002@components[4].id; AE-R002@components[7].id,,0,True,False,135287.1878000151
llama3.1:8b,hybrid_explainer,single-ae-r004-001,single_fault,AE-R004@wires[1],AE-R004@wires[1]; AE-R004@wires[3]; AE-R004@wires[5]; AE-R004@wires[6],AE-R004@wires[3]; AE-R004@wires[5]; AE-R004@wires[6],,0,True,False,146932.46009998256
