mode,scenario_id,intent_case_type,expected_action,predicted_action,expected_candidate_ids,predicted_candidate_ids,candidate_exact,root_exact,impact_exact
mistral_7b_intent_graph,INTENT-CASE-0001,unmatched_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0002,unmatched_request,abstain,report,,CAND-02,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0003,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0004,ambiguous_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0005,single_paraphrased,report,report,CAND-03,CAND-03,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0006,same_entity_distractor,report,report,CAND-01,CAND-01,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0007,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0008,multi_intent,report,report,CAND-01|CAND-02,CAND-01|CAND-02,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0009,multi_intent,report,report,CAND-02|CAND-04,CAND-04,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0010,single_paraphrased,report,report,CAND-04,CAND-04,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0011,unmatched_request,abstain,report,,CAND-04,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0012,multi_intent,report,report,CAND-02|CAND-03,CAND-02|CAND-03,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0013,ambiguous_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0014,same_entity_distractor,report,report,CAND-01,CAND-01,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0015,single_explicit,report,report,CAND-03,CAND-03,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0016,unmatched_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0017,single_paraphrased,report,report,CAND-01,CAND-01,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0018,single_paraphrased,report,report,CAND-02,CAND-02,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0019,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0020,single_explicit,report,report,CAND-01,CAND-01,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0021,ambiguous_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0022,single_explicit,report,report,CAND-03,CAND-03,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0023,multi_intent,report,report,CAND-01|CAND-03,CAND-03,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0024,single_explicit,report,report,CAND-04,CAND-04,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0025,multi_intent,report,report,CAND-03|CAND-04,CAND-04,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0026,same_entity_distractor,report,report,CAND-04,CAND-04,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0027,single_explicit,report,report,CAND-02,CAND-02,1,1,1
mistral_7b_intent_graph,INTENT-CASE-0028,ambiguous_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0029,unmatched_request,abstain,report,,CAND-01,0,0,0
mistral_7b_intent_graph,INTENT-CASE-0030,ambiguous_request,abstain,report,,CAND-01,0,0,0
